session_date,symbol,close,volume,dollar_volume_10d_avg,atr20,rsi14,gap_percent,score
2025-08-21 00:00:00-04:00,WMT,97.96,1725354.0,53086486.7,1.7312499999999993,49.21282798833816,3.1701131486539214,20.37
2025-08-21 00:00:00-04:00,MSFT,504.23,475721.0,249160655.04900002,9.89799999999999,34.628351260234425,0.31406661778985007,15.51
2025-08-21 00:00:00-04:00,NVDA,174.96,2725237.0,468686865.97199994,4.464250000000004,52.2561318105224,0.3021492503278041,11.4
2025-08-21 00:00:00-04:00,META,739.13,172323.0,179411448.71100003,21.288500000000017,46.49898028552002,0.35442496221697367,11.34
2025-08-21 00:00:00-04:00,DIS,116.25,196839.0,39419037.364,2.277250000000001,49.0978676872608,0.47838715188792263,9.01
2025-08-21 00:00:00-04:00,JPM,291.43,153836.0,51019070.05850001,4.905749999999998,53.48399246704333,0.3336812744913383,8.96
2025-08-21 00:00:00-04:00,QQQ,563.39,722330.0,347692435.9315,6.594749999999993,58.64292851303479,0.2633253216456965,8.94
2025-08-21 00:00:00-04:00,XOM,109.2,473271.0,61662303.25700001,1.8237500000000018,52.92397660818717,0.11055831951354758,8.28
2025-08-21 00:00:00-04:00,AMZN,222.0,1052193.0,244423960.411,5.329000000000002,59.864696948778125,0.46916890080429463,8.27
2025-08-21 00:00:00-04:00,V,343.68,117793.0,64791626.21750001,5.750249999999999,56.615142782289766,0.42884140136646776,6.97
2025-08-21 00:00:00-04:00,HD,397.84,99795.0,46739303.029,7.519500000000008,67.55891766075061,0.7392105132161806,6.79
2025-08-21 00:00:00-04:00,JNJ,179.03,291074.0,49998826.89350001,2.415750000000004,87.29299363057336,0.2795951462282615,6.76
2025-08-21 00:00:00-04:00,TSLA,320.08,336152.0,187632911.60900003,11.582999999999998,62.623331398723124,0.5510790034268855,6.7
2025-08-21 00:00:00-04:00,GOOGL,199.78,701165.0,172861060.344,4.016,71.96223316912973,0.38882199478226254,6.05
2025-08-21 00:00:00-04:00,AAPL,224.9,772469.0,335699699.52,5.2269999999999985,75.90197413206263,0.13054541431574995,4.99
2025-08-21 00:00:00-04:00,MA,591.9,79959.0,58026151.489999995,9.009999999999986,75.19918762693328,0.48845096087332246,4.5
2025-08-21 00:00:00-04:00,BAC,48.26,1352735.0,77751914.964,0.8707500000000004,69.6992481203007,0.1757650951199356,4.28
2025-08-21 00:00:00-04:00,UNH,303.22,177023.0,125587876.274,11.702249999999998,83.93328844460558,1.0563027734205588,4.12
2025-08-21 00:00:00-04:00,PG,158.73,197152.0,38635613.066,2.3110000000000026,79.7715549005158,1.08136910732198,3.97
